,id.orig_p,id.resp_p,proto,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,flow_pkts_per_sec,down_up_ratio,fwd_header_size_max,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,flow_CWR_flag_count,fwd_pkts_payload.avg,bwd_pkts_payload.min,bwd_pkts_payload.avg,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.std,fwd_subflow_bytes,fwd_bulk_bytes,active.std,idle.tot,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,Attack_type
0,38667,1883,tcp,mqtt,32.011598,9,5,3,0.437341,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10403073.630178,25.333333,0.0,0.0,29729182.958603,0.0,64240,26847,502,MQTT_Publish
1,51143,1883,tcp,mqtt,31.88358400000001,9,5,3,0.439097,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10463455.560613,25.333333,0.0,0.0,29855277.061462,0.0,64240,26847,502,MQTT_Publish
2,44761,1883,tcp,mqtt,32.124053,9,5,3,0.435811,0.555556,40,40,0,2,1,3,13,0,0,8.222222,0.0,6.0,0.0,33.0,104.0,7.428571000000002,11.229866,10442377.920997,24.666667,0.0,0.0,29842149.019241,0.0,64240,26847,502,MQTT_Publish
3,60893,1883,tcp,mqtt,31.961063,9,5,3,0.438033,0.555556,40,40,0,2,1,3,13,0,0,8.222222,0.0,6.0,0.0,33.0,104.0,7.428571000000002,11.229866,10482528.222589,24.666667,0.0,0.0,29913774.967194,0.0,64240,26847,502,MQTT_Publish
4,51087,1883,tcp,mqtt,31.902362,9,5,3,0.438839,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10447019.098718,25.333333,0.0,0.0,29814704.89502,0.0,64240,26847,502,MQTT_Publish
5,48579,1883,tcp,mqtt,31.869686,9,5,3,0.439289,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10451334.018163,25.333333,0.0,0.0,29825548.171997,0.0,64240,26847,502,MQTT_Publish
6,54063,1883,tcp,mqtt,32.094711,9,5,3,0.436209,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10436858.369484,25.333333,0.0,0.0,29823416.948318,0.0,64240,26847,502,MQTT_Publish
7,33457,1883,tcp,mqtt,32.104011,9,5,3,0.436083,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10425103.716337,25.333333,0.0,0.0,29795433.044434004,0.0,64240,26847,502,MQTT_Publish
8,52181,1883,tcp,mqtt,32.026967,9,5,3,0.437132,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10374502.505825,25.333333,0.0,0.0,29661617.040634006,0.0,64240,26847,502,MQTT_Publish
9,53469,1883,tcp,mqtt,32.048637,9,5,3,0.436836,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10421188.193847,25.333333,0.0,0.0,29778450.965881,0.0,64240,26847,502,MQTT_Publish
10,54153,1883,tcp,mqtt,31.977057,9,5,3,0.437814,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10463622.957275,25.333333,0.0,0.0,29870183.944702003,0.0,64240,26847,502,MQTT_Publish
11,39671,1883,tcp,mqtt,31.962308,9,5,3,0.438016,0.555556,40,40,0,2,1,3,13,0,0,8.333333,0.0,6.2,0.0,33.0,106.0,7.571428999999998,11.420052,10445280.460627,25.0,0.0,0.0,29819482.088089,0.0,64240,26847,502,MQTT_Publish
12,44225,1883,tcp,mqtt,31.965302,9,5,3,0.437975,0.555556,40,40,0,2,1,3,13,0,0,8.333333,0.0,6.2,0.0,33.0,106.0,7.571428999999998,11.420052,10412347.012165,25.0,0.0,0.0,29747197.86644,0.0,64240,26847,502,MQTT_Publish
13,51495,1883,tcp,mqtt,31.885127,9,5,3,0.439076,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10461021.44371,25.333333,0.0,0.0,29850662.946701,0.0,64240,26847,502,MQTT_Publish
14,42037,1883,tcp,mqtt,31.926578000000006,9,5,3,0.4385060000000001,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10463342.978046,25.333333,0.0,0.0,29860140.08522,0.0,64240,26847,502,MQTT_Publish
15,36349,1883,tcp,mqtt,32.061415999999994,9,5,3,0.436662,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10417433.918262,25.333333,0.0,0.0,29770004.034042,0.0,64240,26847,502,MQTT_Publish
16,39763,1883,tcp,mqtt,32.025109,9,5,3,0.437157,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10420872.468228,25.333333,0.0,0.0,29775004.863739,0.0,64240,26847,502,MQTT_Publish
17,57501,1883,tcp,mqtt,31.908247,9,5,3,0.438758,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10469456.785648,25.333333,0.0,0.0,29875375.032425,0.0,64240,26847,502,MQTT_Publish
18,56117,1883,tcp,mqtt,32.009238,9,5,3,0.437374,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10421987.296368,25.333333,0.0,0.0,29776599.168777,0.0,64240,26847,502,MQTT_Publish
19,44927,1883,tcp,mqtt,31.930485,9,5,3,0.4384520000000001,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10475734.717297,25.333333,0.0,0.0,29892142.057419,0.0,64240,26847,502,MQTT_Publish
20,36375,1883,tcp,mqtt,32.048572,9,5,3,0.436837,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10418312.602478,25.333333,0.0,0.0,29772324.085236,0.0,64240,26847,502,MQTT_Publish
21,42381,1883,tcp,mqtt,32.054278000000004,9,5,3,0.436759,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10415804.227115,25.333333,0.0,0.0,29765208.959579,0.0,64240,26847,502,MQTT_Publish
22,58171,1883,tcp,mqtt,31.927022,9,5,3,0.4385,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10466773.948203,25.333333,0.0,0.0,29867868.900299,0.0,64240,26847,502,MQTT_Publish
23,39989,1883,tcp,mqtt,32.038423,9,5,3,0.436975,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10387554.456182,25.333333,0.0,0.0,29697514.057159007,0.0,64240,26847,502,MQTT_Publish
24,54593,1883,tcp,mqtt,31.969466,9,5,3,0.437918,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10491781.182046,25.333333,0.0,0.0,29937090.158463,0.0,64240,26847,502,MQTT_Publish
25,52085,1883,tcp,mqtt,31.950179,9,5,3,0.438182,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10468254.720043,25.333333,0.0,0.0,29873291.015625,0.0,64240,26847,502,MQTT_Publish
26,41525,1883,tcp,mqtt,32.047288,9,5,3,0.436854,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10408143.167001,25.333333,0.0,0.0,29746104.001999,0.0,64240,26847,502,MQTT_Publish
27,37425,1883,tcp,mqtt,31.911588,9,5,3,0.438712,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10471047.445881,25.333333,0.0,0.0,29878719.091415007,0.0,64240,26847,502,MQTT_Publish
28,43009,1883,tcp,mqtt,32.09472,9,5,3,0.436209,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10425273.562579,25.333333,0.0,0.0,29794428.110123,0.0,64240,26847,502,MQTT_Publish
29,41337,1883,tcp,mqtt,32.098929,9,5,3,0.436152,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10428608.932638,25.333333,0.0,0.0,29802947.044373,0.0,64240,26847,502,MQTT_Publish
30,46569,1883,tcp,mqtt,32.09268,9,5,3,0.436237,0.555556,40,40,0,2,1,3,13,0,0,8.222222,0.0,6.0,0.0,33.0,104.0,7.428571000000002,11.229866,10427971.804593,24.666667,0.0,0.0,29799875.974655,0.0,64240,26847,502,MQTT_Publish
31,46467,1883,tcp,mqtt,32.064581,9,5,3,0.436619,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10422020.585082,25.333333,0.0,0.0,29783406.972885,0.0,64240,26847,502,MQTT_Publish
32,33649,1883,tcp,mqtt,32.083967,9,5,3,0.436355,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10425046.608618,25.333333,0.0,0.0,29791519.165039007,0.0,64240,26847,502,MQTT_Publish
33,35111,1883,tcp,mqtt,31.968878000000004,9,5,3,0.437926,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10464997.844039,25.333333,0.0,0.0,29870038.032532,0.0,64240,26847,502,MQTT_Publish
34,52071,1883,tcp,mqtt,31.922717,9,5,3,0.438559,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10475357.447129,25.333333,0.0,0.0,29889089.107513,0.0,64240,26847,502,MQTT_Publish
35,60995,1883,tcp,mqtt,32.052456,9,5,3,0.436784,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10424540.500337,25.333333,0.0,0.0,29787029.981613,0.0,64240,26847,502,MQTT_Publish
36,50751,1883,tcp,mqtt,31.897988,9,5,3,0.438899,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10465837.341214,25.333333,0.0,0.0,29863275.051117,0.0,64240,26847,502,MQTT_Publish
37,38745,1883,tcp,mqtt,32.075677,9,5,3,0.436468,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10433198.821393,25.333333,0.0,0.0,29814059.019089,0.0,64240,26847,502,MQTT_Publish
38,49185,1883,tcp,mqtt,31.89725,9,5,3,0.438909,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10460563.561959,25.333333,0.0,0.0,29851208.925247,0.0,64240,26847,502,MQTT_Publish
39,47295,1883,tcp,mqtt,31.933631,9,5,3,0.438409,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10457892.450462,25.333333,0.0,0.0,29848643.064499,0.0,64240,26847,502,MQTT_Publish
40,60745,1883,tcp,mqtt,31.907554,9,5,3,0.4387680000000001,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10468255.49034,25.333333,0.0,0.0,29869238.853455,0.0,64240,26847,502,MQTT_Publish
41,53237,1883,tcp,mqtt,31.929395,9,5,3,0.438467,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10466124.997255,25.333333,0.0,0.0,29867969.989777,0.0,64240,26847,502,MQTT_Publish
42,42637,1883,tcp,mqtt,32.028281,9,5,3,0.4371140000000001,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10420191.100556,25.333333,0.0,0.0,29773945.808411,0.0,64240,26847,502,MQTT_Publish
43,34219,1883,tcp,mqtt,32.099096,9,5,3,0.436149,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10436589.560929,25.333333,0.0,0.0,29823278.903961,0.0,64240,26847,502,MQTT_Publish
44,41975,1883,tcp,mqtt,31.98821,9,5,3,0.437661,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10479437.527994,25.333333,0.0,0.0,29909020.900726,0.0,64240,26847,502,MQTT_Publish
45,33293,1883,tcp,mqtt,32.125743,9,5,3,0.435788,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10427072.466791,25.333333,0.0,0.0,29802966.833115004,0.0,64240,26847,502,MQTT_Publish
46,35285,1883,tcp,mqtt,32.074138,9,5,3,0.436489,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10426684.113799,25.333333,0.0,0.0,29795946.836472,0.0,64240,26847,502,MQTT_Publish
47,52561,1883,tcp,mqtt,32.096686,9,5,3,0.436182,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10429259.859073,25.333333,0.0,0.0,29803354.024887,0.0,64240,26847,502,MQTT_Publish
48,42461,1883,tcp,mqtt,31.984844,9,5,3,0.437707,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10476356.788081,25.333333,0.0,0.0,29897463.083267,0.0,64240,26847,502,MQTT_Publish
49,33775,1883,tcp,mqtt,32.086841,9,5,3,0.436316,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10426801.449412,25.333333,0.0,0.0,29795991.897583,0.0,64240,26847,502,MQTT_Publish
50,49599,1883,tcp,mqtt,31.983325,9,5,3,0.437728,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10473075.210044,25.333333,0.0,0.0,29889672.040939003,0.0,64240,26847,502,MQTT_Publish
51,51113,1883,tcp,mqtt,32.080402,9,5,3,0.436404,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10424992.227935,25.333333,0.0,0.0,29790796.995163,0.0,64240,26847,502,MQTT_Publish
52,56617,1883,tcp,mqtt,32.068661,9,5,3,0.436563,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10423675.48253,25.333333,0.0,0.0,29787762.880325,0.0,64240,26847,502,MQTT_Publish
53,56301,1883,tcp,mqtt,31.964128,9,5,3,0.437991,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10421632.185132,25.333333,0.0,0.0,29757014.989853,0.0,64240,26847,502,MQTT_Publish
54,38505,1883,tcp,mqtt,31.975608,9,5,3,0.437834,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10472080.236636,25.333333,0.0,0.0,29885917.901993,0.0,64240,26847,502,MQTT_Publish
55,39223,1883,tcp,mqtt,31.783246,9,5,3,0.440484,0.555556,40,40,0,2,1,3,13,0,0,8.444444,0.0,6.4,0.0,33.0,108.0,7.714286,11.618477,10349677.675885,25.333333,0.0,0.0,29569719.076157,0.0,64240,26847,502,MQTT_Publish
56,60201,1883,tcp,mqtt,32.004644,9,5,3,0.437437,0.555556,40,40,0,2,1,3,13,0,0,8.222222,0.0,6.0,0.0,33.0,104.0,7.428571000000002,11.229866,10418691.542265,24.666667,0.0,0.0,29768297.195435,0.0,64240,26847,502,MQTT_Publish
57,57109,1883,tcp,mqtt,32.041896,9,5,3,0.436928,0.555556,40,40,0,2,1,3,13,0,0,8.222222,0.0,6.0,0.0,33.0,104.0,7.428571000000002,11.229866,10414868.062204,24.666667,0.0,0.0,29763087.9879,0.0,64240,26847,502,MQTT_Publish
